WojewodztwoId;Wojewodztwo;LUDNOŒÆ;MEDIANA WIEKU;PRZESTÊPSTWA;BIBLIOTEKI PUBLICZNE;KINA;KLUBY SPORTOWE;GASTRONOMIA;SZPITALE;¯£OBKI;PRACUJ¥CY;STOPA BEZROBOCIA;DOCHODY;WYDATKI
66256ac934e81692b5eed3ad;Dolnoœl¹skie;2897,7;42,3;81800;577;155;1252;1874;84;420;1135996;4,8;2775,7;2622,8
66256ac934e81692b5eed3ab;Kujawsko-pomorskie;2017,7;42,2;40876;389;75;783;615;41;168;699821;7,7;1825,2;1771,5
66256aca34e81692b5eed3b;Lubelskie;2038,3;42,5;33311;563;61;673;383;47;190;691377;7,2;2291,1;2241,9
66256aca34e81692b5eed3b5;Lubuskie;985,5;42,3;27234;241;31;412;259;24;100;339931;4,9;1039,3;962,3
66256ac934e81692b5eed3b2;£ódzkie;2394,9;43,7;54836;467;87;881;803;61;215;935754;5,6;2220,1;2095,8
66256ac934e81692b5eed3af;Ma³opolskie;3430,4;40,3;69820;708;126;1347;2087;73;458;1337609;4,5;2977,8;2844
66256aca34e81692b5eed3b3;Mazowieckie;5512,8;40,9;120938;941;277;1455;5622;118;752;2639261;4,6;4781,5;4513,9
66256ac934e81692b5eed3a7;Opolskie;948,6;43,7;17300;302;27;526;263;30;110;314841;6;1073,2;1033,4
66256ac934e81692b5eed3ae;Podkarpackie;2085,9;41,3;29087;665;65;1236;546;43;209;704061;8,2;2389,7;2238,2
66256ac934e81692b5eed3ac;Podlaskie;1148,7;42,2;17931;226;33;396;370;34;118;394216;7;1129,3;1022,5
66256ac934e81692b5eed3b0;Pomorskie;2358,7;40,3;51251;316;97;739;1509;39;249;871308;5,1;2210,4;2081,3
66256ac934e81692b5eed3a6;Œl¹skie;4375,9;43,4;121216;753;224;1644;1500;141;415;1691016;4,2;2438,9;2306,8
66256ac934e81692b5eed3aa;Œwiêtokrzyskie;1187,7;43,9;22487;255;36;286;563;23;81;401435;7,3;1550;1442,2
66256ac934e81692b5eed3b1;Warmiñsko-mazurskie;1374,7;42;25400;289;50;458;429;42;93;424372;8,6;1846,4;1742,6
66256ac934e81692b5eed3a8;Wielkopolskie;3500;40,7;67461;652;139;1417;1061;55;444;1524065;3,1;3645,6;3493,5
66256ac934e81692b5eed3a9;Zachodniopomorskie;1650;43;39898;349;56;740;905;44;178;552987;7,1;1859,2;1760,1
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
